pitcher,pitchers_PA_as_L,pitchers_PA_as_R,pitcher_PA_vs_LHB,pitcher_PA_vs_RHB,pitcher_PA,pitchers_throwing_hand,prop_onbase_event_stand_L,prop_onbase_event_stand_R,prop_onbase_event_overall,prop_walk_event_stand_L,prop_walk_event_stand_R,prop_walk_event_overall,prop_single_event_stand_L,prop_single_event_stand_R,prop_single_event_overall,prop_double_event_stand_L,prop_double_event_stand_R,prop_double_event_overall,prop_triple_event_stand_L,prop_triple_event_stand_R,prop_triple_event_overall,prop_homerun_event_stand_L,prop_homerun_event_stand_R,prop_homerun_event_overall,prop_strikeout_event_stand_L,prop_strikeout_event_stand_R,prop_strikeout_event_overall,prop_onbase_event_stand_same,prop_walk_event_stand_same,prop_single_event_stand_same,prop_double_event_stand_same,prop_triple_event_stand_same,prop_homerun_event_stand_same,prop_strikeout_event_stand_same,prop_onbase_event_stand_diff,prop_walk_event_stand_diff,prop_single_event_stand_diff,prop_double_event_stand_diff,prop_triple_event_stand_diff,prop_homerun_event_stand_diff,prop_strikeout_event_stand_diff
456034.0,3320.0,0.0,727.0,2593.0,3320,L,0.29160935350756534,0.28924026224450444,0.2897590361445783,0.03576341127922971,0.06594677979174701,0.05933734939759036,0.16506189821182943,0.13844967219436946,0.14427710843373495,0.04126547455295736,0.045892788276128034,0.044879518072289154,0.008253094910591471,0.0038565368299267257,0.004819277108433735,0.02063273727647868,0.030466640956421133,0.028313253012048192,0.20495185694635487,0.26263015811801005,0.25,0.29160935350756534,0.03576341127922971,0.16506189821182943,0.04126547455295736,0.008253094910591471,0.02063273727647868,0.20495185694635487,0.28924026224450444,0.06594677979174701,0.13844967219436946,0.045892788276128034,0.0038565368299267257,0.030466640956421133,0.26263015811801005
456068.0,0.0,1938.0,954.0,984.0,1938,R,0.33228511530398325,0.3241869918699187,0.3281733746130031,0.07651991614255765,0.0701219512195122,0.07327141382868937,0.14360587002096437,0.16565040650406504,0.15479876160990713,0.05660377358490566,0.04878048780487805,0.05263157894736842,0.008385744234800839,0.003048780487804878,0.005675954592363261,0.03459119496855346,0.028455284552845527,0.03147574819401445,0.16142557651991615,0.15752032520325204,0.15944272445820434,0.3241869918699187,0.0701219512195122,0.16565040650406504,0.04878048780487805,0.003048780487804878,0.028455284552845527,0.15752032520325204,0.33228511530398325,0.07651991614255765,0.14360587002096437,0.05660377358490566,0.008385744234800839,0.03459119496855346,0.16142557651991615
456501.0,0.0,2678.0,1294.0,1384.0,2678,R,0.29675425038639874,0.2984104046242775,0.2976101568334578,0.06027820710973725,0.06069364161849711,0.060492905153099324,0.14605873261205565,0.1495664739884393,0.14787154592979837,0.05255023183925812,0.041184971098265896,0.04667662434652726,0.0061823802163833074,0.005780346820809248,0.00597460791635549,0.02472952086553323,0.026734104046242775,0.025765496639283045,0.2187017001545595,0.19869942196531792,0.2083644510828977,0.2984104046242775,0.06069364161849711,0.1495664739884393,0.041184971098265896,0.005780346820809248,0.026734104046242775,0.19869942196531792,0.29675425038639874,0.06027820710973725,0.14605873261205565,0.05255023183925812,0.0061823802163833074,0.02472952086553323,0.2187017001545595
456701.0,0.0,1764.0,865.0,899.0,1764,R,0.3329479768786127,0.3548387096774194,0.34410430839002265,0.07861271676300578,0.06340378197997776,0.07086167800453515,0.15491329479768787,0.19799777530589543,0.17687074829931973,0.05202312138728324,0.047830923248053395,0.049886621315192746,0.004624277456647399,0.002224694104560623,0.003401360544217687,0.03699421965317919,0.03114571746384872,0.034013605442176874,0.1815028901734104,0.17908787541713014,0.18027210884353742,0.3548387096774194,0.06340378197997776,0.19799777530589543,0.047830923248053395,0.002224694104560623,0.03114571746384872,0.17908787541713014,0.3329479768786127,0.07861271676300578,0.15491329479768787,0.05202312138728324,0.004624277456647399,0.03699421965317919,0.1815028901734104
457918.0,3528.0,0.0,777.0,2751.0,3528,L,0.27155727155727155,0.3064340239912759,0.2987528344671202,0.055341055341055344,0.07161032351872046,0.06802721088435375,0.148005148005148,0.1479462013813159,0.14795918367346939,0.03732303732303732,0.042166484914576516,0.04109977324263039,0.002574002574002574,0.0021810250817884407,0.0022675736961451248,0.02059202059202059,0.036713922210105415,0.03316326530612245,0.23166023166023167,0.22101054162122866,0.2233560090702948,0.27155727155727155,0.055341055341055344,0.148005148005148,0.03732303732303732,0.002574002574002574,0.02059202059202059,0.23166023166023167,0.3064340239912759,0.07161032351872046,0.1479462013813159,0.042166484914576516,0.0021810250817884407,0.036713922210105415,0.22101054162122866
458681.0,0.0,3100.0,1495.0,1605.0,3100,R,0.35250836120401335,0.2809968847352025,0.31548387096774194,0.11237458193979934,0.06230529595015576,0.08645161290322581,0.15183946488294314,0.14392523364485982,0.14774193548387096,0.050836120401337795,0.032398753894081,0.04129032258064516,0.006020066889632107,0.006853582554517134,0.0064516129032258064,0.02608695652173913,0.022429906542056073,0.024193548387096774,0.17525083612040135,0.28598130841121494,0.23258064516129032,0.2809968847352025,0.06230529595015576,0.14392523364485982,0.032398753894081,0.006853582554517134,0.022429906542056073,0.28598130841121494,0.35250836120401335,0.11237458193979934,0.15183946488294314,0.050836120401337795,0.006020066889632107,0.02608695652173913,0.17525083612040135
458708.0,0.0,2175.0,943.0,1232.0,2175,R,0.28101802757158006,0.30357142857142855,0.29379310344827586,0.02545068928950159,0.027597402597402596,0.02666666666666667,0.14634146341463414,0.1590909090909091,0.15356321839080458,0.05090137857900318,0.05357142857142857,0.05241379310344828,0.006362672322375398,0.003246753246753247,0.004597701149425287,0.04984093319194061,0.05113636363636364,0.05057471264367816,0.1728525980911983,0.174512987012987,0.17379310344827587,0.30357142857142855,0.027597402597402596,0.1590909090909091,0.05357142857142857,0.003246753246753247,0.05113636363636364,0.174512987012987,0.28101802757158006,0.02545068928950159,0.14634146341463414,0.05090137857900318,0.006362672322375398,0.04984093319194061,0.1728525980911983
460059.0,0.0,1800.0,877.0,923.0,1800,R,0.38426453819840367,0.35102925243770317,0.3672222222222222,0.10490307867730901,0.06067172264355363,0.08222222222222222,0.18129988597491448,0.20368364030335862,0.19277777777777777,0.05017103762827822,0.0390032502708559,0.044444444444444446,0.004561003420752566,0.0032502708559046588,0.0038888888888888888,0.0330672748004561,0.023835319609967497,0.028333333333333332,0.12542759407069556,0.12026002166847237,0.12277777777777778,0.35102925243770317,0.06067172264355363,0.20368364030335862,0.0390032502708559,0.0032502708559046588,0.023835319609967497,0.12026002166847237,0.38426453819840367,0.10490307867730901,0.18129988597491448,0.05017103762827822,0.004561003420752566,0.0330672748004561,0.12542759407069556
461325.0,0.0,1350.0,633.0,717.0,1350,R,0.25118483412322273,0.3110181311018131,0.28296296296296297,0.07740916271721959,0.100418410041841,0.08962962962962963,0.0947867298578199,0.10460251046025104,0.1,0.03949447077409163,0.044630404463040445,0.042222222222222223,0.00315955766192733,0.002789400278940028,0.002962962962962963,0.02843601895734597,0.043235704323570434,0.0362962962962963,0.2559241706161137,0.2691771269177127,0.26296296296296295,0.3110181311018131,0.100418410041841,0.10460251046025104,0.044630404463040445,0.002789400278940028,0.043235704323570434,0.2691771269177127,0.25118483412322273,0.07740916271721959,0.0947867298578199,0.03949447077409163,0.00315955766192733,0.02843601895734597,0.2559241706161137
461829.0,3461.0,0.0,725.0,2736.0,3461,L,0.27034482758620687,0.32858187134502925,0.3163825483964172,0.06620689655172414,0.09649122807017543,0.0901473562554175,0.13793103448275862,0.15314327485380116,0.1499566599248772,0.04827586206896552,0.04203216374269006,0.04334007512279688,0.002758620689655172,0.005847953216374269,0.005200809014735626,0.009655172413793104,0.02448830409356725,0.02138110372724646,0.20551724137931035,0.2189327485380117,0.21612250794568044,0.27034482758620687,0.06620689655172414,0.13793103448275862,0.04827586206896552,0.002758620689655172,0.009655172413793104,0.20551724137931035,0.32858187134502925,0.09649122807017543,0.15314327485380116,0.04203216374269006,0.005847953216374269,0.02448830409356725,0.2189327485380117
