batter,batters_PA_as_L,batters_PA_as_R,PA_vs_LHP,PA_vs_RHP,PA,batter_stance,prop_onbase_event_p_throws_L,prop_onbase_event_p_throws_R,prop_onbase_event_overall,prop_walk_event_p_throws_L,prop_walk_event_p_throws_R,prop_walk_event_overall,prop_single_event_p_throws_L,prop_single_event_p_throws_R,prop_single_event_overall,prop_double_event_p_throws_L,prop_double_event_p_throws_R,prop_double_event_overall,prop_triple_event_p_throws_L,prop_triple_event_p_throws_R,prop_triple_event_overall,prop_homerun_event_p_throws_L,prop_homerun_event_p_throws_R,prop_homerun_event_overall,prop_strikeout_event_p_throws_L,prop_strikeout_event_p_throws_R,prop_strikeout_event_overall,prop_onbase_event_p_throws_same,prop_walk_event_p_throws_same,prop_single_event_p_throws_same,prop_double_event_p_throws_same,prop_triple_event_p_throws_same,prop_homerun_event_p_throws_same,prop_strikeout_event_p_throws_same,prop_onbase_event_p_throws_diff,prop_walk_event_p_throws_diff,prop_single_event_p_throws_diff,prop_double_event_p_throws_diff,prop_triple_event_p_throws_diff,prop_homerun_event_p_throws_diff,prop_strikeout_event_p_throws_diff
460086.0,2662.0,0.0,790.0,1872.0,2662,L,0.3265822784810127,0.3194444444444444,0.32156273478587527,0.08987341772151898,0.0827991452991453,0.08489857250187828,0.1468354430379747,0.14423076923076922,0.1450037565740045,0.03291139240506329,0.04433760683760684,0.040946656649135986,0.0012658227848101266,0.002136752136752137,0.0018782870022539444,0.017721518987341773,0.027243589743589744,0.024417731029301278,0.21645569620253163,0.22115384615384615,0.2197595792637115,0.3265822784810127,0.08987341772151898,0.1468354430379747,0.03291139240506329,0.0012658227848101266,0.017721518987341773,0.21645569620253163,0.3194444444444444,0.0827991452991453,0.14423076923076922,0.04433760683760684,0.002136752136752137,0.027243589743589744,0.22115384615384615
460576.0,0.0,1865.0,491.0,1374.0,1865,R,0.29327902240325865,0.31149927219796214,0.3067024128686327,0.054989816700611,0.07132459970887918,0.06702412868632708,0.13034623217922606,0.12882096069868995,0.12922252010723861,0.03665987780040733,0.053857350800582245,0.04932975871313673,0.006109979633401222,0.001455604075691412,0.002680965147453083,0.016293279022403257,0.033478893740902474,0.028954423592493297,0.25865580448065173,0.2678311499272198,0.26541554959785524,0.31149927219796214,0.07132459970887918,0.12882096069868995,0.053857350800582245,0.001455604075691412,0.033478893740902474,0.2678311499272198,0.29327902240325865,0.054989816700611,0.13034623217922606,0.03665987780040733,0.006109979633401222,0.016293279022403257,0.25865580448065173
461235.0,1385.0,0.0,366.0,1019.0,1385,L,0.31420765027322406,0.2806673209028459,0.2895306859205776,0.07923497267759563,0.08635917566241413,0.08447653429602887,0.1366120218579235,0.09126594700686948,0.10324909747292418,0.04918032786885246,0.03729146221786065,0.04043321299638989,0.00546448087431694,0.001962708537782139,0.002888086642599278,0.0273224043715847,0.05789990186457311,0.049819494584837545,0.29508196721311475,0.3012757605495584,0.2996389891696751,0.31420765027322406,0.07923497267759563,0.1366120218579235,0.04918032786885246,0.00546448087431694,0.0273224043715847,0.29508196721311475,0.2806673209028459,0.08635917566241413,0.09126594700686948,0.03729146221786065,0.001962708537782139,0.05789990186457311,0.3012757605495584
461314.0,0.0,2344.0,599.0,1745.0,2344,R,0.31719532554257096,0.3060171919770774,0.30887372013651876,0.05843071786310518,0.05157593123209169,0.05332764505119454,0.15692821368948248,0.15759312320916904,0.1574232081911263,0.04674457429048414,0.05272206303724929,0.051194539249146756,0.0,0.002292263610315186,0.0017064846416382253,0.05342237061769616,0.038395415472779366,0.04223549488054607,0.2036727879799666,0.2343839541547278,0.22653583617747441,0.3060171919770774,0.05157593123209169,0.15759312320916904,0.05272206303724929,0.002292263610315186,0.038395415472779366,0.2343839541547278,0.31719532554257096,0.05843071786310518,0.15692821368948248,0.04674457429048414,0.0,0.05342237061769616,0.2036727879799666
461858.0,0.0,1302.0,388.0,914.0,1302,R,0.327319587628866,0.2811816192560175,0.29493087557603687,0.10051546391752578,0.061269146608315096,0.07296466973886329,0.14948453608247422,0.13129102844638948,0.13671274961597543,0.03608247422680412,0.044857768052516414,0.042242703533026116,0.005154639175257732,0.0032822757111597373,0.0038402457757296467,0.030927835051546393,0.0350109409190372,0.03379416282642089,0.19845360824742267,0.21991247264770242,0.21351766513056836,0.2811816192560175,0.061269146608315096,0.13129102844638948,0.044857768052516414,0.0032822757111597373,0.0350109409190372,0.21991247264770242,0.327319587628866,0.10051546391752578,0.14948453608247422,0.03608247422680412,0.005154639175257732,0.030927835051546393,0.19845360824742267
462101.0,0.0,2996.0,848.0,2148.0,2996,R,0.33372641509433965,0.319366852886406,0.3234312416555407,0.0660377358490566,0.06191806331471136,0.0630841121495327,0.17570754716981132,0.17970204841713222,0.17857142857142858,0.05778301886792453,0.04981378026070764,0.0520694259012016,0.0047169811320754715,0.0074487895716946,0.006675567423230975,0.024764150943396228,0.0148975791433892,0.017690253671562083,0.1320754716981132,0.1378026070763501,0.13618157543391188,0.319366852886406,0.06191806331471136,0.17970204841713222,0.04981378026070764,0.0074487895716946,0.0148975791433892,0.1378026070763501,0.33372641509433965,0.0660377358490566,0.17570754716981132,0.05778301886792453,0.0047169811320754715,0.024764150943396228,0.1320754716981132
465041.0,0.0,1776.0,384.0,1392.0,1776,R,0.375,0.35344827586206895,0.3581081081081081,0.13020833333333334,0.10416666666666667,0.1097972972972973,0.18229166666666666,0.16091954022988506,0.16554054054054054,0.018229166666666668,0.04310344827586207,0.03772522522522523,0.013020833333333334,0.005028735632183908,0.006756756756756757,0.020833333333333332,0.014367816091954023,0.015765765765765764,0.203125,0.19827586206896552,0.19932432432432431,0.35344827586206895,0.10416666666666667,0.16091954022988506,0.04310344827586207,0.005028735632183908,0.014367816091954023,0.19827586206896552,0.375,0.13020833333333334,0.18229166666666666,0.018229166666666668,0.013020833333333334,0.020833333333333332,0.203125
467092.0,0.0,2185.0,536.0,1649.0,2185,R,0.34328358208955223,0.312310491206792,0.31990846681922197,0.06343283582089553,0.05761067313523347,0.059038901601830666,0.19402985074626866,0.17828987265009097,0.18215102974828376,0.03731343283582089,0.041237113402061855,0.040274599542334096,0.0,0.0006064281382656155,0.0004576659038901602,0.048507462686567165,0.030927835051546393,0.035240274599542334,0.15485074626865672,0.16979987871437235,0.16613272311212815,0.312310491206792,0.05761067313523347,0.17828987265009097,0.041237113402061855,0.0006064281382656155,0.030927835051546393,0.16979987871437235,0.34328358208955223,0.06343283582089553,0.19402985074626866,0.03731343283582089,0.0,0.048507462686567165,0.15485074626865672
467827.0,2138.0,0.0,496.0,1642.0,2138,L,0.29435483870967744,0.31851400730816076,0.3129092609915809,0.04233870967741935,0.04689403166869671,0.04583723105706267,0.17943548387096775,0.1753958587088916,0.17633302151543498,0.036290322580645164,0.06090133982947625,0.05519176800748363,0.006048387096774193,0.004263093788063338,0.004677268475210477,0.014112903225806451,0.023751522533495738,0.021515434985968196,0.18346774193548387,0.16626065773447016,0.17025257249766138,0.29435483870967744,0.04233870967741935,0.17943548387096775,0.036290322580645164,0.006048387096774193,0.014112903225806451,0.18346774193548387,0.31851400730816076,0.04689403166869671,0.1753958587088916,0.06090133982947625,0.004263093788063338,0.023751522533495738,0.16626065773447016
471865.0,2432.0,0.0,673.0,1759.0,2432,L,0.2585438335809807,0.3501989766913019,0.3248355263157895,0.03714710252600297,0.08982376350198977,0.07524671052631579,0.1426448736998514,0.14951677089255258,0.14761513157894737,0.03863298662704309,0.06253553155201819,0.05592105263157895,0.004457652303120356,0.0028425241614553724,0.003289473684210526,0.031203566121842496,0.04377487208641274,0.04029605263157895,0.2659732540861813,0.2069357589539511,0.22327302631578946,0.2585438335809807,0.03714710252600297,0.1426448736998514,0.03863298662704309,0.004457652303120356,0.031203566121842496,0.2659732540861813,0.3501989766913019,0.08982376350198977,0.14951677089255258,0.06253553155201819,0.0028425241614553724,0.04377487208641274,0.2069357589539511
472528.0,1523.0,0.0,307.0,1216.0,1523,L,0.28013029315960913,0.3059210526315789,0.30072225869993435,0.10423452768729642,0.10032894736842106,0.10111621799080761,0.10097719869706841,0.11101973684210527,0.10899540380827315,0.03257328990228013,0.04029605263157895,0.038739330269205514,0.0,0.0008223684210526315,0.0006565988181221273,0.029315960912052116,0.049342105263157895,0.04530531845042679,0.23127035830618892,0.2631578947368421,0.25673013788575183,0.28013029315960913,0.10423452768729642,0.10097719869706841,0.03257328990228013,0.0,0.029315960912052116,0.23127035830618892,0.3059210526315789,0.10032894736842106,0.11101973684210527,0.04029605263157895,0.0008223684210526315,0.049342105263157895,0.2631578947368421
