,index,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,name2search
103,103,baez,pedro,520980,baezp001,baezpe01,5420,2014.0,2019.0,pedrobaez
104,104,baez,sandy,622783,baezs001,baezsa01,17754,2018.0,2019.0,sandybaez
105,105,bailey,andrew,457732,baila001,bailean01,1368,2009.0,2017.0,andrewbailey
106,106,bailey,homer,456701,bailh001,baileho02,8362,2007.0,2019.0,homerbailey
107,107,banda,anthony,607455,banda001,bandaan01,14706,2017.0,2019.0,anthonybanda
108,108,bandy,jett,542908,bandj001,bandyje01,12508,2015.0,2018.0,jettbandy
109,109,banuelos,manny,544365,banum001,banuema01,5365,2015.0,2019.0,mannybanuelos
110,110,barbato,johnny,592127,barbj001,barbajo01,11440,2016.0,2018.0,johnnybarbato
111,111,bard,luke,572703,bardl001,bardlu01,14288,2018.0,2019.0,lukebard
112,112,barlow,scott,605130,barls001,barlosc01,14993,2018.0,2019.0,scottbarlow
113,113,barnes,austin,605131,barna001,barneau01,12158,2015.0,2019.0,austinbarnes
114,114,barnes,brandon,488681,barnb002,barnebr02,629,2012.0,2018.0,brandonbarnes
115,115,barnes,danny,592130,barnd002,barneda02,11388,2016.0,2018.0,dannybarnes
116,116,barnes,jacob,606930,barnj002,barneja01,12323,2016.0,2019.0,jacobbarnes
117,117,barnes,matt,598264,barnm001,barnema01,12863,2014.0,2019.0,mattbarnes
118,118,barnette,tony,501817,barnt002,barneto01,3555,2016.0,2019.0,tonybarnette
119,119,barney,darwin,446381,barnd001,barneda01,2430,2010.0,2017.0,darwinbarney
120,120,barnhart,tucker,571466,barnt001,barnhtu01,10200,2014.0,2019.0,tuckerbarnhart
121,121,baron,steven,571467,baros002,baronst01,9787,2015.0,2019.0,stevenbaron
122,122,barraclough,kyle,607457,barrk002,barraky01,13713,2015.0,2019.0,kylebarraclough
123,123,barrera,tres,668663,barrt004,barretr01,19977,2019.0,2019.0,tresbarrera
124,124,barreto,franklin,620439,barrf001,barrefr02,15519,2017.0,2019.0,franklinbarreto
125,125,barrett,aaron,502578,barra001,barreaa01,11243,2014.0,2019.0,aaronbarrett
126,126,barrett,jake,545332,barrj002,barreja01,13322,2016.0,2019.0,jakebarrett
127,127,barria,jaime,642545,barrj003,barrija01,18356,2018.0,2019.0,jaimebarria
128,128,bashlor,tyler,641341,basht001,bashlty01,15203,2018.0,2019.0,tylerbashlor
129,129,bass,anthony,542914,bassa001,bassan01,7982,2011.0,2019.0,anthonybass
130,130,bassitt,chris,605135,bassc001,bassich01,12304,2014.0,2019.0,chrisbassitt
131,131,bastardo,antonio,455374,basta001,bastaan01,8844,2009.0,2017.0,antoniobastardo
132,132,bauer,trevor,545333,bauet001,bauertr01,12703,2012.0,2019.0,trevorbauer
133,133,bauers,jake,641343,bauej001,bauerja01,15194,2018.0,2019.0,jakebauers
134,134,baumann,buddy,571473,baumb001,baumabu01,9309,2016.0,2018.0,buddybaumann
135,135,bautista,gerson,639373,bautg001,bautige01,19256,2018.0,2019.0,gersonbautista
136,136,bautista,jose,430832,bautj002,bautijo02,1887,2004.0,2018.0,josebautista
137,137,bautista,rafael,622441,bautr001,bautira01,15769,2017.0,2018.0,rafaelbautista
138,138,beato,pedro,474039,beatp001,beatope01,1330,2011.0,2017.0,pedrobeato
139,139,beaty,matt,607461,beatm001,beatyma01,17710,2019.0,2019.0,mattbeaty
140,140,beck,chris,571476,beckc002,beckch02,13418,2015.0,2018.0,chrisbeck
141,141,beckham,gordon,493596,beckg001,beckhgo01,9015,2009.0,2019.0,gordonbeckham
142,142,beckham,tim,542921,beckt001,beckhti01,7949,2013.0,2019.0,timbeckham
143,143,bednar,david,670280,bednd001,bednada01,19569,2019.0,2019.0,davidbednar
144,144,bedrosian,cam,592135,bedrc001,bedroca01,13360,2014.0,2019.0,cambedrosian
145,145,beede,tyler,595881,beedt001,beedety01,16981,2018.0,2019.0,tylerbeede
146,146,beeks,jalen,656222,beekj001,beeksja02,17192,2018.0,2019.0,jalenbeeks
147,147,belisle,matt,279571,belim001,belisma01,1837,2003.0,2018.0,mattbelisle
148,148,beliveau,jeff,542924,belij001,belivje01,8504,2012.0,2018.0,jeffbeliveau
149,149,bell,chad,518445,bellc003,bellch02,10297,2017.0,2018.0,chadbell
150,150,bell,josh,605137,bellj005,belljo02,13145,2016.0,2019.0,joshbell
151,151,bellinger,cody,641355,bellc002,bellico01,15998,2017.0,2019.0,codybellinger
152,152,belt,brandon,474832,beltb001,beltbr01,10264,2011.0,2019.0,brandonbelt
153,153,beltran,carlos,136860,beltc001,beltrca01,589,1998.0,2017.0,carlosbeltran
154,154,beltre,adrian,134181,belta001,beltrad01,639,1998.0,2018.0,adrianbeltre
155,155,bemboom,anthony,621532,bemba001,bemboan01,13854,2019.0,2019.0,anthonybemboom
156,156,benintendi,andrew,643217,benia002,beninan01,17901,2016.0,2019.0,andrewbenintendi
157,157,benoit,joaquin,276542,benoj001,benoijo01,1437,2001.0,2017.0,joaquinbenoit
158,158,bergen,travis,664157,bergt001,bergetr01,18581,2019.0,2019.0,travisbergen
159,159,bergman,christian,548357,bergc001,bergmch01,10925,2014.0,2018.0,christianbergman
160,160,berrios,jose,621244,berrj001,berrijo01,14168,2016.0,2019.0,joseberrios
161,161,berry,quintin,450641,berrq001,berryqu01,9414,2012.0,2017.0,quintinberry
162,162,berti,jon,542932,bertj001,bertijo01,12037,2018.0,2019.0,jonberti
163,163,betances,dellin,476454,betad001,betande01,6216,2011.0,2019.0,dellinbetances
164,164,bethancourt,christian,542194,bethc001,bethach01,10028,2013.0,2017.0,christianbethancourt
165,165,bettis,chad,518452,bettc001,bettich01,10587,2013.0,2019.0,chadbettis
166,166,betts,mookie,605141,bettm001,bettsmo01,13611,2014.0,2019.0,mookiebetts
167,167,biagini,joe,607352,biagj001,biagijo01,13194,2016.0,2019.0,joebiagini
168,168,bibens-dirkx,austin,502212,bibea001,bibenau01,9559,2017.0,2018.0,austinbibens-dirkx
169,169,bichette,bo,666182,bichb001,bichebo01,19612,2019.0,2019.0,bobichette
170,170,biddle,jesse,592145,biddj001,biddlje01,11437,2018.0,2019.0,jessebiddle
171,171,bieber,shane,669456,biebs001,biebesh01,19427,2018.0,2019.0,shanebieber
172,172,biggio,cavan,624415,biggc002,biggica01,19252,2019.0,2019.0,cavanbiggio
173,173,bird,greg,595885,birdg001,birdgr01,14131,2015.0,2019.0,gregbird
174,174,bird,kyle,613317,birdk001,birdky01,16618,2019.0,2019.0,kylebird
175,175,bishop,braden,623323,bishb001,bishobr01,17806,2019.0,2019.0,bradenbishop
176,176,blach,ty,621389,blact002,blachty01,14361,2016.0,2019.0,tyblach
177,177,black,ray,605143,blacr001,blackra01,14244,2018.0,2019.0,rayblack
178,178,blackburn,paul,621112,blacp001,blackpa01,14739,2017.0,2019.0,paulblackburn
179,179,blackmon,charlie,453568,blacc001,blackch02,7859,2011.0,2019.0,charlieblackmon
180,180,blair,aaron,594760,blaia001,blairaa01,14934,2016.0,2017.0,aaronblair
181,181,blanco,andres,433217,blana001,blancan01,1907,2004.0,2017.0,andresblanco
182,182,blanco,gregor,453923,blang001,blancgr01,3123,2008.0,2018.0,gregorblanco
183,183,blandino,alex,607468,blana002,blandal01,16271,2018.0,2019.0,alexblandino
184,184,blanton,joe,430599,blanj001,blantjo01,4849,2004.0,2017.0,joeblanton
185,185,blash,jabari,518466,blasj001,blashja01,11247,2016.0,2018.0,jabariblash
186,186,blazek,michael,518468,blazm001,blazemi01,9654,2013.0,2019.0,michaelblazek
187,187,bleich,jeremy,542946,bleij001,bleicje01,9069,2018.0,2018.0,jeremybleich
188,188,bleier,richard,542947,bleir001,bleieri01,7803,2016.0,2019.0,richardbleier
189,189,blevins,jerry,460283,blevj001,blevije01,7841,2007.0,2019.0,jerryblevins
190,190,bogaerts,xander,593428,bogax001,bogaexa01,12161,2013.0,2019.0,xanderbogaerts
191,191,bolanos,ronald,671790,bolar001,bolanro01,20041,2019.0,2019.0,ronaldbolanos
192,192,bolsinger,mike,502211,bolsm001,bolsimi01,11137,2014.0,2017.0,mikebolsinger
193,193,bolt,skye,621450,bolts001,boltsk01,17723,2019.0,2019.0,skyebolt
194,194,bonifacio,emilio,466988,bonie001,bonifem01,4054,2007.0,2017.0,emiliobonifacio
195,195,bonifacio,jorge,593528,bonij002,bonifjo01,12174,2017.0,2019.0,jorgebonifacio
196,196,bonilla,lisalverto,570810,bonil001,bonilli01,11266,2014.0,2017.0,lisalvertobonilla
197,197,bormann,john,657524,bormj001,bormajo01,18006,2017.0,2017.0,johnbormann
198,198,borucki,ryan,621366,borur001,borucry01,16350,2018.0,2019.0,ryanborucki
199,199,boshers,buddy,542953,boshb001,boshebu01,8490,2013.0,2019.0,buddyboshers
200,200,bostick,christopher,607471,bostc001,bostich01,13718,2017.0,2018.0,christopherbostick
201,201,bote,david,623520,boted002,boteda01,14593,2018.0,2019.0,davidbote
202,202,bour,justin,571506,bourj002,bourju01,9744,2014.0,2019.0,justinbour
203,203,bourjos,peter,488721,bourp001,bourjpe01,2578,2010.0,2019.0,peterbourjos
204,204,bourque,james,630263,bourj003,bourqja01,16668,2019.0,2019.0,jamesbourque
205,205,bowman,matthew,621199,bowmm001,bowmama01,13528,2016.0,2019.0,matthewbowman
206,206,boxberger,brad,502202,boxbb001,boxbebr01,10133,2012.0,2019.0,bradboxberger
207,207,boyd,matt,571510,boydm001,boydma01,15440,2015.0,2019.0,mattboyd
208,208,boyer,blaine,430641,boyeb001,boyerbl01,2237,2005.0,2018.0,blaineboyer
209,209,brach,brad,542960,bracb001,brachbr01,6627,2011.0,2019.0,bradbrach
210,210,bracho,silvino,611093,bracs001,brachsi01,15051,2015.0,2018.0,silvinobracho
211,211,bradford,chase,607473,bradc002,bradfch02,12452,2017.0,2019.0,chasebradford
212,212,bradley,archie,605151,brada001,bradlar01,12918,2015.0,2019.0,archiebradley
213,213,bradley,bobby,656252,bradb002,bradlbo01,17278,2019.0,2019.0,bobbybradley
214,214,bradley,jackie,598265,bradj001,bradlja02,12984,2013.0,2019.0,jackiebradley
215,215,brady,michael,572728,bradm002,bradymi01,8461,2017.0,2017.0,michaelbrady
216,216,brantley,michael,488726,branm003,brantmi02,4106,2009.0,2019.0,michaelbrantley
217,217,brantly,rob,542963,branr002,brantro01,10655,2012.0,2019.0,robbrantly
218,218,brasier,ryan,518489,brasr001,brasiry01,5615,2013.0,2019.0,ryanbrasier
219,219,brault,steven,643230,braus002,braulst01,15291,2016.0,2019.0,stevenbrault
220,220,braun,ryan,460075,braur002,braunry02,3410,2007.0,2019.0,ryanbraun
221,221,brebbia,john,605154,brebj001,brebbjo01,12777,2017.0,2019.0,johnbrebbia
222,222,bregman,alex,608324,brega001,bregmal01,17678,2016.0,2019.0,alexbregman
223,223,brennan,brandon,592165,brenb003,brennbr01,13527,2019.0,2019.0,brandonbrennan
224,224,breslow,craig,444520,bresc001,breslcr01,4363,2005.0,2017.0,craigbreslow
225,225,brewer,colten,605155,brewc002,breweco01,12997,2018.0,2019.0,coltenbrewer
226,226,brice,austin,592169,brica001,briceau01,17237,2016.0,2019.0,austinbrice
227,227,briceno,jose,593993,bricj001,bricejo01,13151,2018.0,2018.0,josebriceno
228,228,bridwell,parker,592170,bridp001,bridwpa01,11502,2016.0,2018.0,parkerbridwell
229,229,brigham,jeff,656257,brigj002,brighje01,16631,2018.0,2019.0,jeffbrigham
230,230,brinson,lewis,621446,brinl001,brinsle01,14352,2017.0,2019.0,lewisbrinson
231,231,brito,socrates,593647,brits001,britoso01,12944,2015.0,2019.0,socratesbrito
232,232,britton,zack,502154,britz001,brittza01,3240,2011.0,2019.0,zackbritton
233,233,brooks,aaron,605156,brooa001,brookaa01,12272,2014.0,2019.0,aaronbrooks
234,234,brosseau,mike,670712,brosm001,brossmi01,19683,2019.0,2019.0,mikebrosseau
235,235,brothers,rex,571521,brotr001,brothre01,9794,2011.0,2018.0,rexbrothers
236,236,brown,seth,664913,brows003,brownse01,18171,2019.0,2019.0,sethbrown
237,237,broxton,jonathan,455009,broxj001,broxtjo01,4759,2005.0,2017.0,jonathanbroxton
238,238,broxton,keon,542979,broxk001,broxtke01,9253,2015.0,2019.0,keonbroxton
239,239,bruce,jay,457803,brucj001,bruceja01,9892,2008.0,2019.0,jaybruce
240,240,brugman,jaycob,595144,brugj001,brugmja01,14936,2017.0,2017.0,jaycobbrugman
241,241,bryant,kris,592178,bryak001,bryankr01,15429,2015.0,2019.0,krisbryant
242,242,buchanan,jake,594772,buchj001,buchaja01,10962,2014.0,2017.0,jakebuchanan
